Data,Rozboje,Bójki i pobicia,Kradzieże z włamaniem,Kradzieże,Wypadki drogowe,Zabici w wypadkach,Ranni w wypadkach,Nietrzeźwi kierujący,Kolizje drogowe
10.11.2015,2,2,35,53,14,2,15,11,181
11.11.2015,5,2,17,24,6,2,9,38,69
09.11.2015,4,1,30,57,10,1,18,18,207
08.11.2015,3,2,20,35,9,0,10,24,111
07.11.2015,4,4,27,37,6,1,11,21,171
06.11.2015,5,2,34,64,7,1,8,6,161
05.11.2015,1,2,28,46,3,0,3,12,146
04.11.2015,3,1,22,46,12,1,23,9,134
03.11.2015,1,0,36,55,7,3,8,13,150
02.11.2015,4,1,31,58,9,0,11,33,161
01.11.2015,4,5,30,22,9,0,12,24,96
31.10.2015,4,3,20,34,6,2,5,28,146
30.10.2015,8,4,23,46,8,0,8,30,230
29.10.2015,3,2,27,57,10,1,12,13,175
28.10.2015,3,1,39,49,7,0,7,18,167
27.10.2015,1,1,24,48,6,0,7,14,188
26.10.2015,2,0,34,40,6,1,5,20,142
25.10.2015,5,3,23,30,5,1,4,46,86
24.10.2015,5,5,31,52,7,1,14,29,134
23.10.2015,3,0,28,53,5,0,5,22,176
22.10.2015,2,1,34,47,12,1,13,7,163
21.10.2015,2,1,28,43,21,2,23,17,188
20.10.2015,2,3,31,58,8,1,7,11,144
18.10.2015,1,4,21,24,6,0,11,40,84
19.10.2015,5,1,33,61,6,0,7,24,140
16.10.2015,2,1,39,53,16,1,26,10,263
17.10.2015,5,2,26,22,12,3,15,31,163
14.10.2015,2,2,19,43,10,0,11,18,163
15.10.2015,4,1,28,33,10,1,9,11,174
12.10.2015,2,0,29,52,17,0,25,51,345
13.10.2015,2,1,20,58,3,0,4,18,133
11.10.2015,3,4,20,27,3,0,4,36,65
11.10.2015,2,1,25,44,9,0,15,19,134
10.10.2015,2,2,25,49,8,0,11,24,204
08.10.2015,1,1,29,43,6,1,6,18,145
07.10.2015,5,1,28,69,11,0,17,19,135
06.10.2015,5,1,24,50,7,2,5,13,128
05.10.2015,5,2,34,63,8,0,11,24,144
04.10.2015,1,4,22,30,4,0,7,31,96
02.10.2015,2,1,25,51,12,1,13,16,191
03.10.2015,3,5,41,36,10,1,9,31,133
01.10.2015,0,1,27,56,13,0,14,19,166
30.09.2015,2,1,24,57,9,4,9,17,183
28.09.2015,4,1,23,51,10,1,11,13,143
28.09.2015,5,3,47,58,12,1,13,23,147
27.09.2015,2,5,20,27,3,0,4,77,72
26.09.2015,6,2,24,29,10,0,16,21,179
25.09.2015,2,0,23,52,5,0,5,19,164
24.09.2015,3,1,22,49,5,0,5,10,153
23.09.2015,6,1,31,36,6,1,8,16,164
22.09.2015,0,0,26,53,18,1,19,15,147
21.09.2015,7,4,30,57,8,0,11,67,129
20.09.2015,6,7,11,35,7,1,8,44,71
19.09.2015,2,3,28,39,8,1,10,22,97
18.09.2015,4,0,31,58,12,0,13,22,163
17.09.2015,1,5,35,48,10,1,8,23,191
17.09.2015,1,1,19,56,4,0,4,26,143
15.09.2015,3,1,32,63,13,1,13,14,144
14.09.2015,7,1,32,70,3,0,3,20,156
13.09.2015,3,2,22,37,5,0,6,50,90
12.09.2015,5,4,23,45,6,0,8,56,110
11.09.2015,4,3,31,52,6,0,7,19,145
10.09.2015,1,3,30,58,10,1,13,18,135
09.09.2015,1,2,27,37,6,0,7,15,131
08.09.2015,1,1,22,63,5,0,5,15,131
07.09.2015,2,1,35,82,15,0,17,17,172
04.09.2015,1,4,32,54,5,2,5,21,173
05.09.2015,4,2,24,45,7,1,12,21,85
06.09.2015,5,3,15,36,10,0,10,19,87
01.09.2015,1,3,17,55,13,1,16,27,149
02.09.2015,6,1,17,54,3,0,3,15,127
03.09.2015,3,1,21,50,6,0,6,23,112
31.08.2015,3,1,36,87,10,0,13,30,158
30.08.2015,2,3,20,40,6,1,10,44,75
29.08.2015,8,2,22,37,8,1,11,47,101
28.08.2015,1,1,29,53,6,1,5,18,148
27.08.2015,6,1,26,51,7,0,7,13,134
26.08.2015,1,1,28,56,8,0,9,15,141
22.08.2015,2,4,23,53,12,2,12,21,91
21.08.2015,2,1,26,53,8,0,9,17,129
20.08.2015,3,4,18,56,14,4,12,15,139
19.08.2015,2,0,18,55,7,1,9,22,148
18.08.2015,2,1,27,67,7,0,8,17,114
17.08.2015,6,3,26,63,12,2,11,52,210
16.08.2015,1,1,12,45,6,0,7,35,98
15.08.2015,4,4,11,29,3,0,4,43,73
14.08.2015,2,3,21,53,7,0,12,25,151
13.08.2015,0,0,27,49,9,0,12,27,121
12.08.2015,2,4,26,66,12,0,13,23,127
11.08.2015,2,5,13,65,14,0,16,18,140
10.08.2015,5,2,22,55,4,1,3,35,134
09.08.2015,0,8,21,31,7,0,9,42,67
07.08.2015,2,0,36,55,10,1,10,23,143
08.08.2015,0,2,18,41,7,0,11,36,86
06.08.2015,7,1,25,61,11,0,14,19,122
05.08.2015,2,1,38,58,7,0,8,20,121
04.08.2015,3,3,31,54,9,1,10,19,139
03.08.2015,3,2,31,68,9,3,8,25,106
02.08.2015,3,4,16,29,4,0,6,30,52
01.08.2015,3,2,26,43,5,0,6,17,83
31.07.2015,2,2,31,47,10,1,10,10,144
30.07.2015,3,1,27,67,6,0,6,14,129
29.07.2015,1,2,29,80,10,0,14,44,153
28.07.2015,2,2,32,61,8,0,8,17,133
27.07.2015,3,3,36,57,9,1,8,68,123
26.07.2015,2,2,20,50,7,1,8,26,63
24.07.2015,4,1,24,62,10,0,11,26,119
25.07.2015,2,4,17,40,2,1,1,45,95
23.07.2015,1,5,29,59,3,0,3,23,120
22.07.2015,7,0,30,57,10,0,13,27,133
21.07.2015,0,4,28,68,6,0,7,33,122
20.07.2015,2,2,27,62,9,1,10,24,119
19.07.2015,4,1,18,38,4,1,5,36,65
18.07.2015,2,0,13,35,5,0,6,48,115
17.07.2015,4,3,24,49,6,0,6,24,138
16.07.2015,5,1,25,66,10,0,11,25,137
15.07.2015,2,1,27,55,2,0,2,16,136
13.07.2015,2,2,23,69,3,0,6,21,156
14.07.2015,2,2,16,49,13,2,17,20,138
12.07.2015,3,3,20,31,3,0,5,36,81
11.07.2015,2,4,17,62,11,1,12,25,93
10.07.2015,3,1,21,49,9,0,9,23,149
09.07.2015,5,1,25,51,9,1,19,17,152
08.07.2015,1,3,23,53,14,0,20,25,202
07.07.2015,6,4,20,48,12,1,12,20,124
06.07.2015,2,1,32,69,13,0,15,31,111
05.07.2015,5,4,18,31,12,1,16,45,80
04.07.2015,5,2,15,35,8,0,10,27,99
03.07.2015,1,1,25,49,10,0,14,22,172
02.07.2015,5,0,20,60,14,1,13,29,138
01.07.2015,3,1,32,54,9,0,9,24,124
30.06.2015,4,2,37,53,8,0,11,19,137
29.06.2015,0,4,48,55,5,1,4,56,141
28.06.2015,4,10,26,28,6,1,10,40,81
27.06.2015,5,5,25,49,8,0,8,27,84
